   ID     X     Y      Map X       Map Y        Lat        Lon    B1    B2    B3    B4    B5    B6    B7    B8    B9   B10   B11   B12
   28  2613  2650  552220.00  5447040.00  49.173947  15.716449   236   366   258   528  1374  1663  1780   788   354    27    37    24
   29  2614  2650  552240.00  5447040.00  49.173945  15.716724   238   360   261   524  1371  1616  1792   775   338    26    37    24
   30  2615  2650  552260.00  5447040.00  49.173944  15.716998   231   362   249   526  1436  1775  1889   790   351    26    37    25
   31  2611  2651  552180.00  5447020.00  49.173771  15.715898   238   375   268   533  1367  1650  1787   803   367    27    39    26
   32  2612  2651  552200.00  5447020.00  49.173769  15.716173   240   353   255   523  1315  1581  1738   796   373    26    36    23
   33  2613  2651  552220.00  5447020.00  49.173767  15.716447   219   351   260   518  1314  1591  1731   773   349    26    34    22
   34  2614  2651  552240.00  5447020.00  49.173765  15.716721   227   348   245   527  1334  1561  1762   776   324    26    35    23
   35  2615  2651  552260.00  5447020.00  49.173764  15.716996   228   347   253   530  1400  1680  1816   784   352    25    35    23
   36  2613  2652  552220.00  5447000.00  49.173587  15.716444   238   353   242   517  1349  1631  1766   776   342    27    36    24
   37  2614  2652  552240.00  5447000.00  49.173586  15.716719   232   347   249   527  1388  1621  1792   762   336    26    36    24

